area_code,state,areas
201,New Jersey,Bayonne|Jersey City|Union City
202,District Of Columbia,Washington
203,Connecticut,Bridgeport|Danbury|Meriden
204,Manitoba,Brandon|Winnipeg
205,Alabama,Birmingham|Clanton|Jasper
206,Washington,Seattle
207,Maine,Portland
208,Idaho,Boise|Idaho Falls|Pocatello
209,California,Lodi|Merced|Modesto
210,Texas,San Antonio
212,New York,New York City
213,California,Los Angeles
214,Texas,Dallas
215,Pennsylvania,Levittown|Philadelphia
216,Ohio,Cleveland|Euclid|Lakewood
217,Illinois,Champaign|Decatur|Springfield
218,Minnesota,Duluth|Ely|Moorhead
219,Indiana,Gary|Hammond
220,Ohio,
224,Illinois,Arlington Heights|Evanston|Skokie
225,Louisiana,Baton Rouge
226,Ontario,Kitchener|London|Windsor
227,Maryland,Silver Spring
228,Mississippi,Biloxi|Gulfport
229,Georgia,Albany|Americus|Bainbridge
231,Michigan,Grant
234,Ohio,Akron|Canton|Youngstown
236,British Columbia,Vancouver
239,Florida,Cape Coral
240,Maryland,Aspen Hill|Bethesda|Frederick
242,Bahamas,
246,Barbados,
248,Michigan,Farmington Hills|Pontiac|Rochester Hills
249,Ontario,Sault Ste. Marie
250,British Columbia,Victoria
251,Alabama,Mobile
252,North Carolina,Elizabeth City|New Bern|Rocky Mount
253,Washington,Kent|Tacoma
254,Texas,Eastland|Hamilton
256,Alabama,Decatur|Huntsville
260,Indiana,Fort Wayne
262,Wisconsin,Kenosha|Racine
264,Anguilla,
267,Pennsylvania,Levittown|Philadelphia
268,Antigua and Barbuda,
269,Michigan,Allegan|Battle Creek|Marshall
270,Kentucky,Bowling Green|Henderson|Owensboro
272,Pennsylvania,
274,Wisconsin,Green Bay
276,Virginia,Danville
278,Michigan,Ann Arbor
281,Texas,Baytown|Houston|Missouri City
283,Ohio,Cincinnati
284,British Virgin Islands,
289,Ontario,Brampton|Mississauga|Vaughan
301,Maryland,Aspen Hill|Bethesda|Bowie
302,Delaware,Dover|Newark|Wilmington
303,Colorado,Aurora|Boulder|Denver
304,West Virginia,Charleston|Huntington|Parkersburg
305,Florida,Hialeah|Miami|Miami Beach
306,Saskatchewan,Regina|Saskatoon
307,Wyoming,Casper|Cheyenne|Gillette
308,Nebraska,Kearney
309,Illinois,Bloomington|Pekin|Rock Island
310,California,Los Angeles
312,Illinois,Chicago
313,Michigan,Dearborn|Detroit
314,Missouri,Florissant|St. Louis
315,New York,Syracuse|Utica
316,Kansas,Wichita
317,Indiana,Indianapolis
318,Louisiana,Bossier City|Monroe|Shreveport
319,Iowa,Cedar Rapids|Iowa City
320,Minnesota,Alexandria|Little Falls
321,Florida,Melbourne|Orlando|Palm Bay
323,California,Los Angeles
325,Texas,Abilene|San Angelo
330,Ohio,Akron|Canton|Youngstown
331,Illinois,Aurora|Naperville|Wheaton
332,New York,
334,Alabama,Auburn|Dothan|Montgomery
336,North Carolina,Greensboro|High Point|Kernersville
337,Louisiana,Lafayette|Lake Charles
339,Massachusetts,Lynn|Malden|Medford
340,US Virgin Islands,
341,California,Oakland
343,Ontario,Ottawa
345,Cayman Islands,
346,Texas,
347,New York,Bronx|Brooklyn|Queens
351,Massachusetts,Haverhill|Lawrence|Lowell
352,Florida,Gainesville|Spring Hill
360,Washington,Bellingham|Vancouver
361,Texas,Corpus Christi|Victoria
364,Kentucky,Owensboro
365,Ontario,
