Month,Channel,First Source / Medium,First Campaign,Last Source / Medium,Last Campaign,# of visits,Full path (Source / Medium),Full path (Campaign),Conversions
2016/07,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,2,(direct) / (none) > accounts.google.com / referral,(direct) / (none) > accounts.google.com / referral,285
2016/07,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),1,(direct) / (none),(direct) / (none),221
2016/07,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,2,google / organic > accounts.google.com / referral,google / organic > accounts.google.com / referral,210
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,Contactually | WP - Brand > accounts.google.com / referral,126
2016/07,Organic,google / organic,google / organic,google / organic,google / organic,1,google / organic,google / organic,85
2016/07,Advertising,google / cpc,Contactually | WP - Brand,google / cpc,Contactually | WP - Brand,1,google / cpc,Contactually | WP - Brand,63
2016/07,Advertising,google / cpc,**2016-04 / Competitor / MailTrack / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,**2016-04 / Competitor / MailTrack / US > accounts.google.com / referral,50
2016/07,Direct,(direct) / (none),(direct) / (none),login.microsoftonline.com / referral,login.microsoftonline.com / referral,2,(direct) / (none) > login.microsoftonline.com / referral,(direct) / (none) > login.microsoftonline.com / referral,41
2016/07,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,3,google / organic > (direct) / (none) > accounts.google.com / referral,google / organic > (direct) / (none) > accounts.google.com / referral,41
2016/07,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),2,(direct) / (none) > (direct) / (none),(direct) / (none) > (direct) / (none),36
2016/07,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,3,(direct) / (none) > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > (direct) / (none) > accounts.google.com / referral,31
2016/07,Organic,google / organic,google / organic,(direct) / (none),(direct) / (none),2,google / organic > (direct) / (none),google / organic > (direct) / (none),31
2016/07,Organic,google / organic,google / organic,login.microsoftonline.com / referral,login.microsoftonline.com / referral,2,google / organic > login.microsoftonline.com / referral,google / organic > login.microsoftonline.com / referral,29
2016/07,Partnerships,Other Campaigns / Reseller Partners,Reseller Partners,accounts.google.com / referral,accounts.google.com / referral,2,Other Campaigns / Reseller Partners > accounts.google.com / referral,Reseller Partners > accounts.google.com / referral,26
2016/07,Partnerships,mls association clareity / (not set),Clareity,accounts.google.com / referral,accounts.google.com / referral,2,mls association clareity / (not set) > accounts.google.com / referral,Clareity > accounts.google.com / referral,17
2016/07,Referral,library.creativecow.net / referral,library.creativecow.net / referral,accounts.google.com / referral,accounts.google.com / referral,2,library.creativecow.net / referral > accounts.google.com / referral,library.creativecow.net / referral > accounts.google.com / referral,17
2016/07,?,accounts.google.com / referral,accounts.google.com / referral,accounts.google.com / referral,accounts.google.com / referral,1,accounts.google.com / referral,accounts.google.com / referral,14
2016/07,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,4,google / organic > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,google / organic > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,14
2016/07,Partnerships,Other Campaigns / Reseller Partners,Reseller Partners,Other Campaigns / Reseller Partners,Reseller Partners,1,Other Campaigns / Reseller Partners,Reseller Partners,14
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,3,google / cpc > google / cpc > accounts.google.com / referral,Contactually | WP - Brand > Contactually | WP - Brand > accounts.google.com / referral,13
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,3,google / cpc > (direct) / (none) > accounts.google.com / referral,Contactually | WP - Brand > (direct) / (none) > accounts.google.com / referral,13
2016/07,Advertising,google / cpc,**2016-04 / Competitor / MailTrack / US,google / cpc,**2016-04 / Competitor / MailTrack / US,1,google / cpc,**2016-04 / Competitor / MailTrack / US,12
2016/07,Advertising,google / cpc,Contactually | WP - Brand,google / cpc,Contactually | WP - Brand,2,google / cpc > google / cpc,Contactually | WP - Brand > Contactually | WP - Brand,10
2016/07,Advertising,google / cpc,Contactually | WP - Brand,(direct) / (none),(direct) / (none),2,google / cpc > (direct) / (none),Contactually | WP - Brand > (direct) / (none),10
2016/07,Advertising,google / cpc,Contactually | WP - Brand,login.microsoftonline.com / referral,login.microsoftonline.com / referral,2,google / cpc > login.microsoftonline.com / referral,Contactually | WP - Brand > login.microsoftonline.com / referral,10
2016/07,Customer Referrals,Other Campaigns / User Invite,User Invite,accounts.google.com / referral,accounts.google.com / referral,2,Other Campaigns / User Invite > accounts.google.com / referral,User Invite > accounts.google.com / referral,10
2016/07,Direct,(direct) / (none),(direct) / (none),account.live.com / referral,account.live.com / referral,2,(direct) / (none) > account.live.com / referral,(direct) / (none) > account.live.com / referral,10
2016/07,Email,hs_automation / email,InterestToTrial,hs_automation / email,InterestToTrial,1,hs_automation / email,InterestToTrial,10
2016/07,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),3,(direct) / (none) > accounts.google.com / referral > (direct) / (none),(direct) / (none) > accounts.google.com / referral > (direct) / (none),9
2016/07,Organic,google / organic,google / organic,(direct) / (none),(direct) / (none),3,google / organic > (direct) / (none) > (direct) / (none),google / organic > (direct) / (none) > (direct) / (none),9
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,3,google / cpc > google / organic > accounts.google.com / referral,Contactually | WP - Brand > google / organic > accounts.google.com / referral,8
2016/07,Advertising,facebook-ads / cpm,fb-2015-07-mixed-clicks,accounts.google.com / referral,accounts.google.com / referral,2,facebook-ads / cpm > accounts.google.com / referral,fb-2015-07-mixed-clicks > accounts.google.com / referral,8
2016/07,Customer Referrals,Other Campaigns / User Invite,User Invite,Other Campaigns / User Invite,User Invite,1,Other Campaigns / User Invite,User Invite,8
2016/07,Referral,therealestatetrainer.com / referral,therealestatetrainer.com / referral,accounts.google.com / referral,accounts.google.com / referral,2,therealestatetrainer.com / referral > accounts.google.com / referral,therealestatetrainer.com / referral > accounts.google.com / referral,8
2016/07,Advertising,bing / cpc,2016-04 / CRM R3 / US,accounts.google.com / referral,accounts.google.com / referral,2,bing / cpc > accounts.google.com / referral,2016-04 / CRM R3 / US > accounts.google.com / referral,7
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Streak / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,**2016-04 / Competitor / Streak / US > accounts.google.com / referral,7
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Yesware / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,**2016-04 / Competitor / Yesware / US > accounts.google.com / referral,7
2016/07,Customer Upsell,firstteam.yapmo.com / referral,firstteam.yapmo.com / referral,accounts.google.com / referral,accounts.google.com / referral,2,firstteam.yapmo.com / referral > accounts.google.com / referral,firstteam.yapmo.com / referral > accounts.google.com / referral,7
2016/07,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),3,(direct) / (none) > (direct) / (none) > (direct) / (none),(direct) / (none) > (direct) / (none) > (direct) / (none),7
2016/07,Organic,google / organic,google / organic,google / cpc,Contactually | WP - Brand,2,google / organic > google / cpc,google / organic > Contactually | WP - Brand,7
2016/07,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,3,google / organic > google / cpc > accounts.google.com / referral,google / organic > Contactually | WP - Brand > accounts.google.com / referral,7
2016/07,Referral,therealestatetrainer.com / referral,therealestatetrainer.com / referral,therealestatetrainer.com / referral,therealestatetrainer.com / referral,1,therealestatetrainer.com / referral,therealestatetrainer.com / referral,7
2016/07,Advertising,bing / cpc,2016-01 / CRM System / 1,accounts.google.com / referral,accounts.google.com / referral,2,bing / cpc > accounts.google.com / referral,2016-01 / CRM System / 1 > accounts.google.com / referral,6
2016/07,Advertising,bing / cpc,**2016-04 / Competitor / Salesforce / US,accounts.google.com / referral,accounts.google.com / referral,2,bing / cpc > accounts.google.com / referral,**2016-04 / Competitor / Salesforce / US > accounts.google.com / referral,6
2016/07,Email,hs_automation / email,InterestToTrial,accounts.google.com / referral,accounts.google.com / referral,2,hs_automation / email > accounts.google.com / referral,InterestToTrial > accounts.google.com / referral,6
2016/07,Referral,library.creativecow.net / referral,library.creativecow.net / referral,library.creativecow.net / referral,library.creativecow.net / referral,1,library.creativecow.net / referral,library.creativecow.net / referral,6
2016/07,Referral,placester.com / referral,placester.com / referral,accounts.google.com / referral,accounts.google.com / referral,2,placester.com / referral > accounts.google.com / referral,placester.com / referral > accounts.google.com / referral,6
2016/07,Advertising,bing / cpc,2016-04 / CRM R3 / US,bing / cpc,2016-04 / CRM R3 / US,1,bing / cpc,2016-04 / CRM R3 / US,5
2016/07,Advertising,bing / cpc,RLSA|CRM,accounts.google.com / referral,accounts.google.com / referral,2,bing / cpc > accounts.google.com / referral,RLSA|CRM > accounts.google.com / referral,5
2016/07,Advertising,bing / cpc,**2016-04 / Competitor / Microsoft Dynamics / US,accounts.google.com / referral,accounts.google.com / referral,2,bing / cpc > accounts.google.com / referral,**2016-04 / Competitor / Microsoft Dynamics / US > accounts.google.com / referral,5
2016/07,Advertising,google / cpc,Contactually | WP - Brand,google / organic,google / organic,2,google / cpc > google / organic,Contactually | WP - Brand > google / organic,5
2016/07,Advertising,google / cpc,2016-01 / Contact Manager / 1,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,2016-01 / Contact Manager / 1 > accounts.google.com / referral,5
2016/07,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,5,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,5
2016/07,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,4,(direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,5
2016/07,Direct,(direct) / (none),(direct) / (none),login.microsoftonline.com / referral,login.microsoftonline.com / referral,3,(direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral,(direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral,5
2016/07,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,3,(direct) / (none) > google / organic > accounts.google.com / referral,(direct) / (none) > google / organic > accounts.google.com / referral,5
2016/07,Organic,google / organic,google / organic,login.microsoftonline.com / referral,login.microsoftonline.com / referral,3,google / organic > (direct) / (none) > login.microsoftonline.com / referral,google / organic > (direct) / (none) > login.microsoftonline.com / referral,5
2016/07,Organic,google / organic,google / organic,(direct) / (none),(direct) / (none),4,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),5
2016/07,Advertising,bing / cpc,**2016-04 / Competitor / Microsoft Dynamics / US,bing / cpc,**2016-04 / Competitor / Microsoft Dynamics / US,1,bing / cpc,**2016-04 / Competitor / Microsoft Dynamics / US,4
2016/07,Advertising,bing / cpc,**2016-04 / Competitor / SugarCRM / US,accounts.google.com / referral,accounts.google.com / referral,2,bing / cpc > accounts.google.com / referral,**2016-04 / Competitor / SugarCRM / US > accounts.google.com / referral,4
2016/07,Advertising,google / cpc,**2016-04 / Competitor / MailTrack / US,accounts.google.com / referral,accounts.google.com / referral,3,google / cpc > google / cpc > accounts.google.com / referral,**2016-04 / Competitor / MailTrack / US > **2016-04 / Competitor / MailTrack / US > accounts.google.com / referral,4
2016/07,Advertising,google / cpc,2016-04 / CRM R3 / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,2016-04 / CRM R3 / US > accounts.google.com / referral,4
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Goldmine / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,**2016-04 / Competitor / Goldmine / US > accounts.google.com / referral,4
2016/07,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),5,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),4
2016/07,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),6,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),4
2016/07,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),11,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),4
2016/07,Direct,(direct) / (none),(direct) / (none),google / organic,google / organic,2,(direct) / (none) > google / organic,(direct) / (none) > google / organic,4
2016/07,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),4,(direct) / (none) > accounts.google.com / referral > (direct) / (none) > (direct) / (none),(direct) / (none) > accounts.google.com / referral > (direct) / (none) > (direct) / (none),4
2016/07,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,4,google / organic > (direct) / (none) > google / cpc > accounts.google.com / referral,google / organic > (direct) / (none) > Contactually | WP - Brand > accounts.google.com / referral,4
2016/07,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,5,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,4
2016/07,Organic,google / organic,google / organic,(direct) / (none),(direct) / (none),5,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),4
2016/07,Partnerships,bookyourselfsolid.com / referral,bookyourselfsolid.com / referral,accounts.google.com / referral,accounts.google.com / referral,2,bookyourselfsolid.com / referral > accounts.google.com / referral,bookyourselfsolid.com / referral > accounts.google.com / referral,4
2016/07,Partnerships,Other Campaigns / Reseller Partners,Reseller Partners,login.microsoftonline.com / referral,login.microsoftonline.com / referral,2,Other Campaigns / Reseller Partners > login.microsoftonline.com / referral,Reseller Partners > login.microsoftonline.com / referral,4
2016/07,Referral,forbes.com / referral,forbes.com / referral,accounts.google.com / referral,accounts.google.com / referral,2,forbes.com / referral > accounts.google.com / referral,forbes.com / referral > accounts.google.com / referral,4
2016/07,Advertising,bing / cpc,RLSA|CRM,bing / cpc,RLSA|CRM,1,bing / cpc,RLSA|CRM,3
2016/07,Advertising,bing / cpc,**2016-04 / Competitor / Salesforce / US,bing / cpc,**2016-04 / Competitor / Salesforce / US,1,bing / cpc,**2016-04 / Competitor / Salesforce / US,3
2016/07,Advertising,bing / cpc,2016-04 / CRM R3 / US,account.live.com / referral,account.live.com / referral,2,bing / cpc > account.live.com / referral,2016-04 / CRM R3 / US > account.live.com / referral,3
2016/07,Advertising,bing / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,2,bing / cpc > accounts.google.com / referral,Contactually | WP - Brand > accounts.google.com / referral,3
2016/07,Advertising,google / cpc,2016-07 / Competitor / Top Producer / US,google / cpc,2016-07 / Competitor / Top Producer / US,1,google / cpc,2016-07 / Competitor / Top Producer / US,3
2016/07,Advertising,google / cpc,Contactually | WP - Brand,google / cpc,Contactually | WP - Brand,3,google / cpc > google / cpc > google / cpc,Contactually | WP - Brand > Contactually | WP - Brand > Contactually | WP - Brand,3
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,4,google / cpc > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,Contactually | WP - Brand > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,3
2016/07,Advertising,google / cpc,Contactually | WP - Brand,login.microsoftonline.com / referral,login.microsoftonline.com / referral,3,google / cpc > google / organic > login.microsoftonline.com / referral,Contactually | WP - Brand > google / organic > login.microsoftonline.com / referral,3
2016/07,Advertising,google / cpc,Contactually | WP - Brand,google / cpc,Contactually | WP - Brand,3,google / cpc > google / organic > google / cpc,Contactually | WP - Brand > google / organic > Contactually | WP - Brand,3
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,4,google / cpc > google / organic > google / cpc > accounts.google.com / referral,Contactually | WP - Brand > google / organic > Contactually | WP - Brand > accounts.google.com / referral,3
2016/07,Advertising,google / cpc,Contactually | WP - Brand,(direct) / (none),(direct) / (none),5,google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),Contactually | WP - Brand > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),3
2016/07,Advertising,google / cpc,2016-01 / CRM System / 1,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,2016-01 / CRM System / 1 > accounts.google.com / referral,3
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Sidekick / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,**2016-04 / Competitor / Sidekick / US > accounts.google.com / referral,3
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Boomerang / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,**2016-04 / Competitor / Boomerang / US > accounts.google.com / referral,3
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Act / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,**2016-04 / Competitor / Act / US > accounts.google.com / referral,3
2016/07,Advertising,google / cpc,2016-07 / Competitor / Top Producer / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,2016-07 / Competitor / Top Producer / US > accounts.google.com / referral,3
2016/07,Advertising,google / cpc,Contactually | WP - Brand,(direct) / (none),(direct) / (none),3,google / cpc > accounts.google.com / referral > (direct) / (none),Contactually | WP - Brand > accounts.google.com / referral > (direct) / (none),3
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,4,google / cpc > accounts.google.com / referral > google / organic > accounts.google.com / referral,Contactually | WP - Brand > accounts.google.com / referral > google / organic > accounts.google.com / referral,3
2016/07,Advertising,facebook-ads / cpm,re_va_longandfoster,accounts.google.com / referral,accounts.google.com / referral,2,facebook-ads / cpm > accounts.google.com / referral,re_va_longandfoster > accounts.google.com / referral,3
2016/07,Advertising,facebook-ads / cpm,re_va_keller-williams,accounts.google.com / referral,accounts.google.com / referral,2,facebook-ads / cpm > accounts.google.com / referral,re_va_keller-williams > accounts.google.com / referral,3
2016/07,Customer Upsell,launchpad.remax.com / referral,launchpad.remax.com / referral,launchpad.remax.com / referral,launchpad.remax.com / referral,1,launchpad.remax.com / referral,launchpad.remax.com / referral,3
